"id","offer_name","click_url","app_id"
"100000283","Gate.io-UA-CPA-aos-ID-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","com.gateio.gateio"
"100000284","Gate.io-UA-CPA-aos-KR-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","com.gateio.gateio"
"100000285","Gate.io-UA-CPA-aos-RU-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","com.gateio.gateio"
"100000287","Gate.io-UA-CPA-ios-PK-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","1294998195"
"100000292","Gate.io-UA-CPA-ios-KR-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","1294998195"
"100000293","Gate.io-UA-CPA-ios-TR-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","1294998195"
"100000294","Gate.io-UA-CPA-ios-HK-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","1294998195"
"100000295","Gate.io-UA-CPA-ios-RU-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","1294998195"
"100000296","ImagineArt-UA-CPA-ios-DE-iavatarz","https://jsqj.adj.st/?adj_t=1qaqx2ir&adj_adgroup=Ultra_3148&adj_creative=3_1241_DL-0725&adj_os_name={os}&adj_click_id={transaction_id}&adj_android_id={android_id}&adj_idfv={idfv}&adj_idfa={idfa}&adj_gps_adid={gaid}&adj_ip_address={ip}&adj_rejected_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={c_idfa}&gaid={c_gaid}&is_rejected=1&block_reason={rejection_reason}&block_sub_reason=pa&adj_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={c_idfa}&gaid={c_gaid}&adj_event_callback_pqo3bh=http://{adjust_domain}/pb/event_notify?transaction_id={transaction_id}&idfa={c_idfa}&gaid={c_gaid}&event_name=pqo3bh","1664121419"
"100000298","Heetch-UA-CPA-aos-FR-16ads_0728_VTA","https://view.adjust.com/impression/1egfq9wz?campaign=Adwake_FR_1712_d&adgroup=EFO_AOS_Vserv_ELO_16&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_qrttcc=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dqrttcc","com.heetch"
